"SYMBOL","GENENAME","ENTREZID","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","switchConsequencesGene"
"Pomt2","protein-O-mannosyltransferase 2","217734","isoComp_00056851","geneComp_00019944","ENSMUST00000222634.2","Pomt2","sgC9","sgNTC","protein_coding","nonsense_mediated_decay",6.63219964359617,5.65774082117644,7.60665846601589,0.431841408026385,0.289046406368631,0.42638441904675,NA,1.53201457509116,0.145963224737841,2.91806592544447,0.134125759883231,0.28786272059676,4.23067024146397,NA,0.202583333333333,0.0233333333333333,0.381833333333333,0.3585,0.00488975839148064,0.0039572949663548,TRUE,1,TRUE
"Marchf8","membrane associated ring-CH-type finger 8","71779","isoComp_00044796","geneComp_00016963","ENSMUST00000101032.10","Marchf8","sgC9","sgNTC","protein_coding","protein_coding",17.2926799764302,17.3217449497719,17.2636150030885,0.249260913144179,0.808367558341327,-0.00484687139805295,NA,8.42644267229602,5.43319526684409,11.419690077748,0.243776721870533,0.594155749294508,1.07026058789854,NA,0.49085,0.313833333333333,0.667866666666667,0.354033333333333,0.00565910565831413,0.00565910565831413,FALSE,1,TRUE
"Slc10a7","solute carrier family 10 (sodium/bile acid cotransporter family), member 7","76775","isoComp_00066460","geneComp_00022264","ENSMUST00000034111.10","Slc10a7","sgC9","sgNTC","protein_coding","protein_coding",14.8095080324468,16.0358380406439,13.5831780242498,2.42382220457607,0.660731459697779,-0.239316349348363,NA,8.89996417242453,6.89759243036863,10.9023359144804,0.357270686380317,0.320297159445376,0.659705093689883,NA,0.6313,0.4544,0.8082,0.3538,0.0112144489571824,0.0112144489571824,FALSE,1,TRUE
"Zfp101","zinc finger protein 101","22643","isoComp_00081188","geneComp_00025760","ENSMUST00000174512.4","Zfp101","sgC9","sgNTC","protein_coding","protein_coding",8.0494174981,9.61067427965777,6.48816071654222,2.47279013988098,0.803191593245217,-0.566106585287846,NA,1.6533548228021,0.620969813327528,2.68573983227667,0.130793470321889,0.165642464174305,2.09503837675882,NA,0.24375,0.0672,0.4203,0.3531,4.54916742006992e-17,4.54916742006992e-17,FALSE,2,TRUE
"Zscan20","zinc finger and SCAN domains 20","269585","isoComp_00083007","geneComp_00026231","ENSMUST00000097877.9","Zscan20","sgC9","sgNTC","protein_coding","protein_coding",3.41114388227897,2.82900642071502,3.99328134384291,0.131478050280713,0.306291871556587,0.495796897581824,NA,2.47345659084361,2.62961655101022,2.317296630677,0.205968712469605,0.239925641767491,-0.181673264615196,NA,0.760483333333333,0.9289,0.592066666666667,-0.336833333333333,0.111990084607605,4.62635487317789e-09,FALSE,2,TRUE
"Coq8a","coenzyme Q8A","67426","isoComp_00015407","geneComp_00004274","ENSMUST00000027766.13","Coq8a","sgC9","sgNTC","protein_coding","protein_coding",7.12414976840782,9.02281142062529,5.22548811619034,1.569655212883,0.435171887605412,-0.786851040643916,NA,3.45878180716037,5.3693800178865,1.54818359643424,0.340507765185742,0.0289962415885652,-1.78757467730753,NA,0.462983333333333,0.6266,0.299366666666667,-0.327233333333333,0.00353063668673498,0.00353063668673498,FALSE,1,TRUE
"Foxj2","forkhead box J2","60611","isoComp_00025660","geneComp_00007431","ENSMUST00000003238.14","Foxj2","sgC9","sgNTC","protein_coding","protein_coding",7.12178868120618,7.43162912690076,6.81194823551161,0.150447751134429,0.206953995865801,-0.125434683846176,NA,5.61360608846326,4.75627158305053,6.470940593876,0.55647197705958,0.0257053966816942,0.443342051063697,NA,0.7947,0.637566666666667,0.951833333333333,0.314266666666667,0.0521642788113396,1.08299087950054e-09,FALSE,1,TRUE
"Gm32618","predicted gene, 32618","102635226","isoComp_00031550","geneComp_00011101","ENSMUST00000245864.1","Gm32618","sgC9","sgNTC","lncRNA","lncRNA",3.41861796127275,4.26955809019825,2.56767783234724,1.15245589443303,0.124548268435445,-0.731389869103571,NA,0.415478841362378,3.12228118611498e-06,0.830954560443569,1.92447722740266e-06,0.398120443297278,6.39350556423744,NA,0.155216666666667,0,0.310433333333333,0.310433333333333,0.0335406098002782,0.0155863798457375,FALSE,1,TRUE
"E130317F20Rik","RIKEN cDNA E130317F20 gene","414101","isoComp_00020151","geneComp_00005408","ENSMUST00000217802.2","E130317F20Rik","sgC9","sgNTC","lncRNA","lncRNA",1.41284714905547,1.14002234358134,1.6856719545296,0.117880084967343,0.131402491749006,0.560195201144747,NA,0.431084297237386,0.146324828238937,0.715843766235834,0.0359079203131973,0.0503788916587189,2.21511211759444,NA,0.281966666666667,0.135266666666667,0.428666666666667,0.2934,0.0077198277943582,0.00486104909407923,FALSE,1,TRUE
"Zmynd10","zinc finger, MYND domain containing 10","114602","isoComp_00082860","geneComp_00026201","ENSMUST00000192445.2","Zmynd10","sgC9","sgNTC","protein_coding","retained_intron",1.47584536239528,1.24347262522217,1.70821809956839,0.45183812677467,0.823655591019968,0.454982685259808,NA,0.649837145305202,0.280158428918588,1.01951586169181,0.111182536586805,0.503447016814271,1.82705331367128,NA,0.4569,0.311466666666667,0.602333333333333,0.290866666666667,0.423216756496,0.0039572949663548,FALSE,1,TRUE
"Fuz","fuzzy planar cell polarity protein","70300","isoComp_00026072","geneComp_00007529","ENSMUST00000071207.14","Fuz","sgC9","sgNTC","protein_coding","protein_coding",9.41863075145691,11.3257773706813,7.51148413223254,0.754738721435277,1.45524681952061,-0.591794063452513,NA,4.10080495088021,6.27553274824049,1.92607715351993,1.14418749752455,0.163386436603904,-1.69889858377233,NA,0.423083333333333,0.5664,0.279766666666667,-0.286633333333333,0.230932685447224,0.0178058226171288,FALSE,1,TRUE
"4930581F22Rik","RIKEN cDNA 4930581F22 gene","78934","isoComp_00001705","geneComp_00000708","ENSMUST00000162566.3","4930581F22Rik","sgC9","sgNTC","lncRNA","lncRNA",6.71163451111723,6.31443253604075,7.1088364861937,0.0376648190808735,0.557392199667439,0.170705425285722,NA,1.8792338727927,2.74580310396385,1.01266464162155,0.343449171460664,0.222154833221312,-1.43013968900707,NA,0.291383333333333,0.434533333333333,0.148233333333333,-0.2863,0.0317157013904944,0.000102490554320797,FALSE,1,TRUE
"Atosa","atos homolog A","235493","isoComp_00007776","geneComp_00002315","ENSMUST00000170846.8","Atosa","sgC9","sgNTC","protein_coding","protein_coding",24.1605782191532,26.6936431767017,21.6275132616047,1.12964615119219,1.10282745879213,-0.303501878334627,NA,3.62862589750637,0.60619347372585,6.65105832128689,0.463475501688446,0.865997695780316,3.43429610597691,NA,0.163483333333333,0.0215666666666667,0.3054,0.283833333333333,0.0313762198043327,1.98620175480732e-13,FALSE,1,TRUE
"Fbxl12","F-box and leucine-rich repeat protein 12","30843","isoComp_00024613","geneComp_00007165","ENSMUST00000086458.10","Fbxl12","sgC9","sgNTC","protein_coding","protein_coding",10.3652317728423,11.3604410331556,9.37002251252907,0.709658480215853,0.449169246689647,-0.277624923726583,NA,3.64923613969512,5.45731336158818,1.84115891780207,0.776061048697644,0.368776783013016,-1.56240331401125,NA,0.334733333333333,0.4759,0.193566666666667,-0.282333333333333,0.000979338124140806,0.000979338124140806,FALSE,1,TRUE
"Mier3","MIER family member 3","218613","isoComp_00046320","geneComp_00017274","ENSMUST00000109272.9","Mier3","sgC9","sgNTC","protein_coding","protein_coding",4.39879299428065,3.30466007433058,5.49292591423071,0.258809370608307,0.6972007042007,0.731337979447538,NA,3.10103783761085,2.94703998530336,3.25503568991833,0.251658466594721,0.155955880891616,0.142945010060563,NA,0.752516666666667,0.8927,0.612333333333333,-0.280366666666667,1.14157357297938e-06,1.14157357297938e-06,FALSE,1,TRUE
"Gm10033","predicted gene 10033","378466","isoComp_00027478","geneComp_00007873","ENSMUST00000213012.2","Gm10033","sgC9","sgNTC","protein_coding","protein_coding",2.28306554165403,2.29558457785226,2.2705465054558,0.0784417132054747,0.257235358744501,-0.0157530001307961,NA,0.378455055988311,0.0588346006189276,0.698075511357695,0.0588346006189276,0.139313826546555,3.36269737992933,NA,0.16475,0.0248,0.3047,0.2799,0.00338350000477527,0.00338350000477527,FALSE,2,TRUE
"Dlx1","distal-less homeobox 1","13390","isoComp_00018782","geneComp_00005073","ENSMUST00000145088.2","Dlx1","sgC9","sgNTC","protein_coding","retained_intron",3.19562547979816,1.44356451504365,4.94768644455268,0.0925034385120521,0.0881628039095792,1.77007192364294,NA,0.649127156305873,0.607054964753559,0.691199347858187,0.151594587488327,0.127382968242922,0.184425649815903,NA,0.278916666666667,0.418533333333333,0.1393,-0.279233333333333,0.0695141270557956,2.58248740953914e-07,FALSE,1,TRUE
"Ubb-ps","ubiquitin B, pseudogene","218963","isoComp_00077396","geneComp_00024837","ENSMUST00000111388.5","Ubb-ps","sgC9","sgNTC","transcribed_processed_pseudogene","transcribed_processed_pseudogene",44.5921328265486,56.2364987943047,32.9477668587925,5.74420637975183,1.24819231664291,-0.771144802729195,NA,28.1330952344297,41.1815477544547,15.0846427144047,4.62918680981678,0.492271208229762,-1.44831172675855,NA,0.594633333333333,0.730566666666667,0.4587,-0.271866666666667,2.83127452107138e-19,2.83127452107138e-19,NA,1,TRUE
"Hexdc",NA,NA,"isoComp_00037740","geneComp_00015123","ENSMUST00000151495.8","Hexdc","sgC9","sgNTC","protein_coding","protein_coding",9.44098064251642,10.4414716829178,8.440489602115,0.639712231792803,0.254964988350088,-0.306599268650806,NA,2.45266197293781,4.0077648101897,0.897559135685923,0.991823693500653,0.298418323581917,-2.14632955890302,NA,0.242433333333333,0.377233333333333,0.107633333333333,-0.2696,0.265574669463635,0.0234224269807841,FALSE,1,TRUE
"Fbxo44","F-box protein 44","230903","isoComp_00024776","geneComp_00007208","ENSMUST00000057907.10","Fbxo44","sgC9","sgNTC","protein_coding","protein_coding",29.2642056239179,30.3800812710862,28.1483299767496,2.45214807350383,1.13040849461592,-0.110038760319105,NA,12.201073736989,16.5621877389836,7.83995973499442,1.93201425550165,0.977021467779921,-1.07800691009408,NA,0.411783333333333,0.5463,0.277266666666667,-0.269033333333333,0.00940912545644148,1.74666341911088e-06,FALSE,1,TRUE
"Cerox1","cytoplasmic endogenous regulator of oxidative phosphorylation 1","72834","isoComp_00013393","geneComp_00003767","ENSMUST00000163493.4","Cerox1","sgC9","sgNTC","lncRNA","lncRNA",17.6219968019291,25.0940302322008,10.1499633716574,0.575979030310656,1.13258653688694,-1.30502379385779,NA,1.78161841031813,0.66043389821494,2.90280292242131,0.191826163520452,0.38350405839369,2.11924109238175,NA,0.160933333333333,0.0265666666666667,0.2953,0.268733333333333,0.000663728736796747,0.000663728736796747,FALSE,1,TRUE
"Tnr","tenascin R","21960","isoComp_00074910","geneComp_00024285","ENSMUST00000111669.9","Tnr","sgC9","sgNTC","protein_coding","protein_coding",7.33136835422875,10.1403750236578,4.52236168479969,0.474461026042411,0.427194851721519,-1.16319813265612,NA,3.29873053510647,5.39784706424656,1.19961400596638,0.327107335683215,0.111697937366824,-2.16050760274048,NA,0.3987,0.531733333333333,0.265666666666667,-0.266066666666667,7.42780664677138e-06,4.00354807866562e-06,FALSE,1,TRUE
"Pgpep1","pyroglutamyl-peptidase I","66522","isoComp_00054656","geneComp_00019460","ENSMUST00000070173.9","Pgpep1","sgC9","sgNTC","protein_coding","protein_coding",54.5506833002164,49.841403267312,59.2599633331207,3.82041695273645,3.78673323521619,0.249667049371852,NA,23.2914095043143,28.2505606544762,18.3322583541524,0.638236580475609,0.517962349198227,-0.62361880840394,NA,0.443216666666667,0.574533333333333,0.3119,-0.262633333333333,0.00312734833986722,3.85712683295098e-34,FALSE,1,TRUE
"Ogfod2","2-oxoglutarate and iron-dependent oxygenase domain containing 2","66627","isoComp_00052031","geneComp_00018636","ENSMUST00000024470.13","Ogfod2","sgC9","sgNTC","protein_coding","protein_coding",32.3010591500389,35.64736198971,28.9547563103677,3.04052922761835,0.950065277055273,-0.299901445937336,NA,15.5029942654256,21.2593004812575,9.74668804959383,1.53435552902085,0.204929185113229,-1.12430917891098,NA,0.468283333333333,0.5989,0.337666666666667,-0.261233333333333,2.6621174235489e-17,2.6621174235489e-17,FALSE,1,TRUE
"Golga7","golgin A7","57437","isoComp_00035813","geneComp_00014542","ENSMUST00000121783.7","Golga7","sgC9","sgNTC","protein_coding","protein_coding",72.4889813501869,76.1011944961927,68.8767682041811,3.68977898549972,2.42978601449708,-0.143881765946207,NA,29.6177570362372,21.7185852677781,37.5169288046963,2.03299233751436,1.88391979134965,0.788331980459661,NA,0.415766666666667,0.2857,0.545833333333333,0.260133333333333,7.77277337092414e-05,3.22094414088092e-06,FALSE,1,TRUE
"Parp8","poly (ADP-ribose) polymerase family, member 8","52552","isoComp_00053350","geneComp_00019137","ENSMUST00000223949.2","Parp8","sgC9","sgNTC","protein_coding","protein_coding",7.87141706183977,6.33392700142202,9.40890712225752,0.375231688313735,0.18882005422095,0.570183503073967,NA,4.27408228690467,2.45832882445744,6.08983574935191,0.264555347045899,0.533061714158246,1.30523579622521,NA,0.516983333333333,0.387833333333333,0.646133333333333,0.2583,0.0161376216333118,0.0161376216333118,FALSE,1,TRUE
"Epb41l2","erythrocyte membrane protein band 4.1 like 2","13822","isoComp_00022878","geneComp_00006733","ENSMUST00000218903.2","Epb41l2","sgC9","sgNTC","protein_coding","protein_coding",38.3119179411052,39.7411855103599,36.8826503718506,1.8977825288548,2.55956666889361,-0.107664450805112,NA,14.3932108516911,19.8815372793807,8.90488442400159,1.42193736919506,0.768991661260916,-1.1578667769753,NA,0.370366666666667,0.499133333333333,0.2416,-0.257533333333333,1.81240248411608e-16,1.81240248411608e-16,FALSE,1,FALSE
"Gm10138","predicted gene 10138","108167733","isoComp_00027529","geneComp_00007905","ENSMUST00000186597.2","Gm10138","sgC9","sgNTC","lncRNA","lncRNA",4.76227991314313,3.20512948722469,6.31943033906157,0.249777551120177,0.521879953502834,0.977198817843308,NA,2.57578566096801,2.26751214472341,2.88405917721261,0.212039387710266,0.254002313366298,0.345635674996085,NA,0.583483333333333,0.710966666666667,0.456,-0.254966666666667,0.429512208748846,4.75295768580052e-08,FALSE,1,TRUE
"Men1","multiple endocrine neoplasia 1","17283","isoComp_00045697","geneComp_00017142","ENSMUST00000056391.15","Men1","sgC9","sgNTC","protein_coding","protein_coding",40.0776012530751,37.2015070980382,42.9536954081119,1.03511554859983,2.54884870572931,0.207369266204361,NA,19.2853612888044,12.9415008285058,25.629221749103,1.03607603221043,0.311949823857911,0.985233183113536,NA,0.474516666666667,0.3482,0.600833333333333,0.252633333333333,6.22958367129602e-19,6.22958367129602e-19,FALSE,1,TRUE
"Nek1","NIMA (never in mitosis gene a)-related expressed kinase 1","18004","isoComp_00049786","geneComp_00018102","ENSMUST00000034065.14","Nek1","sgC9","sgNTC","protein_coding","protein_coding",23.3726014039087,27.8931968204504,18.852005987367,1.73243095201388,1.94221569437944,-0.564947302784121,NA,10.9776649536385,10.2240203898142,11.7313095174629,1.30285263081868,1.87513062550804,0.198220309505531,NA,0.4939,0.3679,0.6199,0.252,0.0331331564752077,0.00390813426357349,FALSE,1,TRUE
"Zfp78","zinc finger protein 78","330463","isoComp_00082272","geneComp_00026035","ENSMUST00000208030.2","Zfp78","sgC9","sgNTC","protein_coding","protein_coding",1.32831514714059,1.22957394306864,1.42705635121254,0.316356228802438,0.471633630038874,0.213272301586097,NA,0.157351532459625,0.0370879340878219,0.277615130831428,0.0230359838868453,0.0956730994690102,2.6107102418803,NA,0.166333333333333,0.0407,0.291966666666667,0.251266666666667,0.435627841065551,5.21337763085999e-06,FALSE,1,TRUE
"Ap4m1","adaptor-related protein complex AP-4, mu 1","11781","isoComp_00006070","geneComp_00001949","ENSMUST00000019662.11","Ap4m1","sgC9","sgNTC","protein_coding","protein_coding",12.3453524962066,10.7655828602647,13.9251221321484,0.556085030642873,0.693623945265374,0.370959738763926,NA,7.42941462869106,7.98939627254079,6.86943298484132,0.161148439732328,0.200745974411289,-0.217601461240796,NA,0.62065,0.744733333333333,0.496566666666667,-0.248166666666667,0.0140381753381955,0.00118229329229722,FALSE,1,TRUE
"Ampd2","adenosine monophosphate deaminase 2","109674","isoComp_00005256","geneComp_00001788","ENSMUST00000102638.8","Ampd2","sgC9","sgNTC","protein_coding","protein_coding",34.9312919083985,30.1943471293515,39.6682366874455,0.866041420849074,0.591217228392303,0.393591710473597,NA,9.96754687314891,4.47564506673713,15.4594486795607,0.480000771907776,1.95028234388808,1.78603440636479,NA,0.269766666666667,0.149333333333333,0.3902,0.240866666666667,0.0023273803420246,9.79636974016305e-08,FALSE,1,TRUE
"Smim10l1","small integral membrane protein 10 like 1","381820","isoComp_00068075","geneComp_00022663","ENSMUST00000100864.7","Smim10l1","sgC9","sgNTC","protein_coding","protein_coding",13.1472147917765,9.36772859896296,16.92670098459,0.164267695153372,1.88356065144939,0.852842454963968,NA,8.45014552617621,7.56800152988976,9.33228952246267,0.059865606085169,0.0853615632082478,0.301958724602443,NA,0.687966666666667,0.808166666666667,0.567766666666667,-0.2404,0.0406443353375831,0.000194834742253117,FALSE,1,TRUE
"H2-Ke6",NA,NA,"isoComp_00037037","geneComp_00014891","ENSMUST00000237759.2","H2-Ke6","sgC9","sgNTC","protein_coding","protein_coding",37.0627065067375,54.3166932139446,19.8087197995304,8.72559869102988,1.7720588055502,-1.45479746105187,NA,11.2540073944555,12.9506882064411,9.55732658246997,0.519537238623309,0.198783231321156,-0.437954575756152,NA,0.372633333333333,0.253933333333333,0.491333333333333,0.2374,0.0799835874099865,2.25545893558633e-17,FALSE,1,TRUE
"Ifi203","interferon activated gene 203","15950","isoComp_00039094","geneComp_00015481","ENSMUST00000081216.12","Ifi203","sgC9","sgNTC","protein_coding","protein_coding",4.74761367879584,6.33487830012535,3.16034905746634,0.367267548509183,0.0725388480017514,-1.00095080151952,NA,0.943753982437424,1.7623645038297,0.125143461045147,0.597707276264767,0.125043928665786,-3.71311172507327,NA,0.157066666666667,0.275433333333333,0.0387,-0.236733333333333,0.151039994240794,9.73261914968038e-18,FALSE,2,TRUE
"Tbc1d19","TBC1 domain family, member 19","67249","isoComp_00071875","geneComp_00023538","ENSMUST00000037337.10","Tbc1d19","sgC9","sgNTC","protein_coding","protein_coding",14.7592953641373,16.3199967990455,13.1985939292292,1.38834329855338,1.65736303886007,-0.306047609977633,NA,8.75536036376296,8.05062740633179,9.46009332119413,1.04335099535441,0.799383261890865,0.232486505905364,NA,0.6078,0.489533333333333,0.726066666666667,0.236533333333333,0.00150945796229865,0.00150945796229865,FALSE,1,TRUE
"Suds3","suppressor of defective silencing 3 homolog (S. cerevisiae)","71954","isoComp_00070872","geneComp_00023311","ENSMUST00000086471.12","Suds3","sgC9","sgNTC","protein_coding","protein_coding",88.8846266767116,90.7146184777626,87.0546348756606,1.15927954902439,0.342371135109315,-0.0594072609117111,NA,50.5928277417218,41.158643569886,60.0270119135575,1.04034783852702,0.726706832009988,0.544306259419068,NA,0.571833333333333,0.454166666666667,0.6895,0.235333333333333,3.0888290937776e-13,3.0888290937776e-13,FALSE,1,TRUE
"Smox","spermine oxidase","228608","isoComp_00068175","geneComp_00022699","ENSMUST00000028806.12","Smox","sgC9","sgNTC","protein_coding","protein_coding",30.3148715015487,28.2831887822136,32.3465542208837,0.598589755833988,0.991218801058582,0.193603192812836,NA,17.2743700108528,19.6164656890462,14.9322743326593,0.755017224348481,1.83964072687197,-0.393400642892607,NA,0.576066666666667,0.693066666666667,0.459066666666667,-0.234,0.00419512375560971,2.02349430112575e-20,FALSE,1,TRUE
"Dcaf11","DDB1 and CUL4 associated factor 11","28199","isoComp_00017527","geneComp_00004815","ENSMUST00000072530.11","Dcaf11","sgC9","sgNTC","protein_coding","protein_coding",17.2721753569495,13.2700558194812,21.2742948944178,0.625082624388802,2.22185342152314,0.680528086631563,NA,5.47270788400047,6.17785531624187,4.76756045175908,1.18308614923136,0.907510157876354,-0.373165336116091,NA,0.347983333333333,0.463733333333333,0.232233333333333,-0.2315,0.214690491957839,0.0319936456507478,FALSE,1,TRUE
"F730311O21Rik","RIKEN cDNA F730311O21 gene","622304","isoComp_00023841","geneComp_00006951","ENSMUST00000241796.1","F730311O21Rik","sgC9","sgNTC","lncRNA","lncRNA",3.07951838816191,3.10707765373035,3.05195912259347,0.379498579008581,0.466343354140403,-0.0257390734665613,NA,1.32754289147191,1.02830200661228,1.62678377633155,0.248843920352561,0.188987773059046,0.656637614912008,NA,0.43455,0.3202,0.5489,0.2287,0.26569645973978,3.26549175435408e-05,FALSE,1,TRUE
"Top3b","topoisomerase (DNA) III beta","21976","isoComp_00075108","geneComp_00024322","ENSMUST00000023465.16","Top3b","sgC9","sgNTC","protein_coding","protein_coding",26.8142891904298,23.7412645220603,29.8873138587994,0.547483012639064,0.180918120676548,0.332011545627794,NA,7.27635935412962,3.41120714631802,11.1415115619412,0.0638522847796836,1.51937977337791,1.70466191365113,NA,0.258033333333333,0.1438,0.372266666666667,0.228466666666667,0.0021162979060174,0.0021162979060174,FALSE,1,TRUE
"Dalrd3","DALR anticodon binding domain containing 3","67789","isoComp_00017384","geneComp_00004785","ENSMUST00000191881.2","Dalrd3","sgC9","sgNTC","protein_coding","retained_intron",31.17880666856,35.9603365545177,26.3972767826024,3.39632913210092,2.54188954028335,-0.445872124981373,NA,4.62741218396553,8.848400069492,0.406424298439063,2.37589094565626,0.315153265075318,-4.41091999699172,NA,0.126933333333333,0.239933333333333,0.0139333333333333,-0.226,0.0211510225049354,0.00915283899903097,FALSE,1,TRUE
"Nfatc4","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4","73181","isoComp_00049999","geneComp_00018152","ENSMUST00000024179.6","Nfatc4","sgC9","sgNTC","protein_coding","protein_coding",9.525191533598,10.0556993927842,8.99468367441181,0.703193173283011,0.625151600135481,-0.160699916513838,NA,3.8062266994682,2.99945528534424,4.61299811359216,0.136895401845573,0.293477955145113,0.619326392629815,NA,0.410783333333333,0.3001,0.521466666666667,0.221366666666667,0.0491943045500351,0.0491943045500351,FALSE,1,TRUE
